Simulation #,Avg Queue Length A,Avg Fuel Wait A,Avg Queue Length B,Avg Fuel Wait B,Clerk Utilization,Pump B Max Queue,Avg Invoice Wait,Pump A Max Queue,Pump B Utilization,Avg Stay Time B,Avg Stay Time A,Avg Invoice Queue Length,Final Queue B,Final Queue A,Final Invoice Queue,Pump A Utilization
105,10.82,46.50,0.18,3.77,20.88,3.00,0.41,28.00,37.99,7.04,47.34,0.09,0.00,0.00,0.00,100.04
106,35.23,142.56,0.40,6.58,24.42,5.00,0.49,59.00,42.37,9.05,148.12,0.10,0.00,0.00,0.00,114.28
107,11.14,49.25,0.17,5.48,17.61,4.00,0.34,35.00,35.13,7.42,46.70,0.09,0.00,0.00,0.00,98.07
108,5.92,25.66,0.28,5.37,21.51,4.00,0.51,14.00,40.83,8.43,28.82,0.09,0.00,0.00,0.00,94.97
109,6.54,26.53,0.30,4.89,19.69,4.00,0.59,20.00,42.68,8.54,30.02,0.12,0.00,0.00,0.00,98.60
110,5.87,23.33,0.20,4.23,17.47,3.00,0.26,21.00,38.47,6.16,25.62,0.06,0.00,0.00,0.00,94.26
111,10.30,43.86,0.27,5.58,18.31,6.00,0.44,29.00,40.74,6.80,44.78,0.08,0.00,0.00,0.00,93.51
112,7.64,34.06,0.29,8.02,23.65,4.00,0.79,20.00,36.52,9.42,37.35,0.16,0.00,0.00,0.00,95.57
113,6.29,28.80,0.24,5.83,21.20,4.00,0.85,21.00,37.94,8.07,35.07,0.18,0.00,0.00,0.00,96.17
114,8.70,39.87,0.42,7.18,22.57,5.00,0.60,29.00,46.25,9.24,36.38,0.13,0.00,0.00,0.00,91.61
115,4.06,19.39,0.21,5.05,20.52,3.00,0.42,13.00,36.31,6.32,22.52,0.10,0.00,0.00,0.00,90.66
116,3.64,17.29,0.26,6.06,18.53,6.00,0.39,13.00,40.14,8.75,19.35,0.09,0.00,0.00,0.00,95.00
117,8.64,36.81,0.32,7.42,18.54,5.00,0.53,22.00,36.44,7.20,40.04,0.14,0.00,0.00,0.00,96.62
118,13.96,53.84,0.35,7.57,19.86,7.00,0.57,28.00,44.36,9.92,59.35,0.10,0.00,0.00,0.00,100.91
119,4.14,21.26,0.22,5.07,17.16,6.00,0.44,16.00,36.26,6.67,25.51,0.06,0.00,0.00,0.00,88.06
120,5.42,23.19,0.27,6.18,23.95,4.00,0.56,21.00,44.61,8.89,27.61,0.11,0.00,0.00,0.00,93.80
121,7.87,35.56,0.25,4.96,18.63,3.00,0.32,21.00,44.14,7.31,38.08,0.08,0.00,0.00,0.00,92.00
122,19.82,80.74,0.35,6.42,19.41,4.00,0.27,51.00,41.05,7.60,88.52,0.06,0.00,0.00,0.00,106.12
123,5.32,24.91,0.33,5.87,23.65,5.00,0.95,19.00,41.76,10.04,25.93,0.21,0.00,0.00,0.00,92.17
124,6.93,31.88,0.31,6.21,20.26,4.00,0.30,25.00,43.95,7.96,34.50,0.06,0.00,0.00,0.00,89.34
125,9.24,39.40,0.23,5.75,22.06,4.00,0.48,22.00,34.75,6.72,42.82,0.11,0.00,0.00,0.00,93.82
126,4.94,23.55,0.18,4.05,16.79,3.00,0.51,21.00,41.40,6.62,23.82,0.10,0.00,0.00,0.00,85.22
127,4.29,21.46,0.36,7.62,16.82,6.00,0.19,20.00,33.78,7.37,22.96,0.04,0.00,0.00,0.00,90.25
128,5.73,26.29,0.18,4.11,17.15,3.00,0.37,19.00,37.62,5.59,27.76,0.09,0.00,0.00,0.00,93.01
129,6.39,28.45,0.28,4.52,21.47,4.00,0.71,23.00,48.42,8.21,28.78,0.14,0.00,0.00,0.00,92.61
130,8.07,32.92,0.60,10.26,23.00,8.00,0.54,21.00,45.57,11.35,37.93,0.13,0.00,0.00,0.00,96.94
131,5.35,21.89,0.57,8.96,20.37,8.00,0.60,16.00,39.26,10.40,24.89,0.14,0.00,0.00,0.00,90.33
132,6.58,30.59,0.41,5.91,19.80,5.00,0.37,23.00,46.80,7.99,32.86,0.08,0.00,0.00,0.00,95.58
133,7.85,33.73,0.46,6.83,20.82,6.00,0.61,19.00,45.43,9.29,40.11,0.12,0.00,0.00,0.00,98.67
134,4.36,19.27,0.48,7.35,16.21,5.00,0.29,14.00,48.61,9.41,21.90,0.06,0.00,0.00,0.00,88.39
135,5.49,21.52,0.45,7.25,24.63,7.00,0.46,16.00,41.15,8.38,25.20,0.09,0.00,0.00,0.00,93.44
136,4.70,21.86,0.63,8.85,15.11,8.00,0.30,17.00,46.51,10.95,25.35,0.06,0.00,0.00,0.00,88.39
137,5.65,22.70,0.43,5.22,18.93,5.00,0.27,18.00,39.77,7.95,27.42,0.07,0.00,0.00,0.00,98.36
138,3.00,14.02,0.32,7.00,17.30,4.00,0.37,11.00,41.60,8.13,15.82,0.07,0.00,0.00,0.00,87.02
139,2.24,12.40,0.18,4.68,18.20,2.00,0.31,12.00,34.66,6.63,15.97,0.06,0.00,0.00,0.00,83.82
140,5.00,22.97,0.38,6.69,21.45,7.00,0.47,18.00,44.15,9.83,23.69,0.09,0.00,0.00,0.00,87.87
141,10.95,41.49,0.14,4.28,20.35,3.00,0.36,33.00,30.78,5.71,43.34,0.07,0.00,0.00,0.00,95.48
142,9.91,37.27,0.73,8.93,21.64,7.00,0.66,29.00,47.16,9.88,42.17,0.18,0.00,0.00,0.00,98.57
143,2.33,11.90,0.29,5.02,18.18,5.00,0.46,10.00,37.99,7.46,14.88,0.10,0.00,0.00,0.00,81.10
144,4.46,19.85,0.22,6.49,20.34,4.00,0.50,16.00,34.91,6.99,24.02,0.09,0.00,0.00,0.00,88.08
145,4.86,20.91,0.53,8.04,23.21,6.00,0.42,24.00,45.24,9.82,22.77,0.09,0.00,0.00,0.00,86.97
146,10.47,45.05,0.19,5.04,24.56,4.00,0.53,28.00,39.40,6.84,47.78,0.12,0.00,0.00,0.00,92.44
147,12.49,50.51,0.32,5.38,22.31,6.00,0.76,33.00,37.96,7.92,52.05,0.17,0.00,0.00,0.00,96.76
148,3.27,15.05,0.33,5.36,22.36,4.00,0.85,13.00,42.89,7.84,18.08,0.16,0.00,0.00,0.00,82.00
149,4.75,20.95,0.17,5.12,18.70,4.00,0.32,19.00,34.23,6.07,24.90,0.07,0.00,0.00,0.00,92.16
150,5.48,22.28,0.17,4.95,21.32,4.00,0.54,22.00,35.87,8.09,24.44,0.13,0.00,0.00,0.00,93.64
151,8.56,36.43,0.42,9.08,20.96,7.00,0.45,30.00,33.50,7.36,37.63,0.08,0.00,0.00,0.00,95.37
152,6.04,24.05,0.94,14.91,20.17,8.00,0.55,17.00,47.98,14.60,28.50,0.11,0.00,0.00,0.00,97.81
153,1.91,9.98,0.31,6.29,24.53,5.00,0.53,9.00,41.78,8.62,14.30,0.10,0.00,0.00,0.00,85.01
154,7.93,37.05,0.32,5.36,22.54,3.00,0.37,31.00,46.52,7.90,36.50,0.08,0.00,0.00,0.00,96.14
155,12.23,46.74,0.17,6.26,22.39,4.00,0.50,37.00,34.12,5.47,48.57,0.11,0.00,0.00,0.00,98.27
156,3.45,16.75,0.21,5.34,21.97,4.00,0.47,17.00,34.63,7.00,20.87,0.08,0.00,0.00,0.00,89.53
157,5.48,24.49,0.20,5.18,19.71,4.00,0.31,20.00,35.35,7.13,25.34,0.07,0.00,0.00,0.00,92.73
158,3.22,15.86,0.29,4.58,24.31,4.00,0.47,13.00,41.22,7.43,17.09,0.13,0.00,0.00,0.00,87.69
159,3.64,17.27,0.15,4.51,21.37,5.00,0.44,15.00,36.88,7.58,23.09,0.08,0.00,0.00,0.00,92.51
160,3.30,15.30,0.19,4.36,22.00,4.00,0.66,13.00,29.62,6.91,19.20,0.11,0.00,0.00,0.00,88.00
161,13.14,54.65,0.24,4.71,24.28,3.00,0.44,27.00,40.52,8.19,58.79,0.08,0.00,0.00,0.00,99.91
162,10.97,48.89,0.27,4.43,24.03,4.00,0.60,33.00,42.43,7.86,53.99,0.15,0.00,0.00,0.00,94.15
163,20.40,79.36,0.38,6.35,20.80,4.00,0.21,38.00,42.96,7.91,83.98,0.04,0.00,0.00,0.00,106.06
164,3.49,16.43,0.41,8.71,17.22,5.00,0.29,12.00,46.81,10.55,18.78,0.06,0.00,0.00,0.00,87.90
165,2.62,14.81,0.36,5.63,19.64,5.00,0.44,14.00,45.37,7.03,16.39,0.09,0.00,0.00,0.00,79.58
166,18.33,75.57,0.19,4.58,17.57,4.00,0.34,43.00,39.53,6.89,76.85,0.06,0.00,0.00,0.00,94.62
167,5.68,24.44,0.35,6.45,23.81,5.00,0.89,17.00,41.79,10.40,30.17,0.16,0.00,0.00,0.00,92.13
168,9.25,35.37,0.21,4.60,22.42,3.00,0.48,23.00,33.77,6.92,37.96,0.11,0.00,0.00,0.00,94.33
169,3.69,18.73,0.22,4.04,19.51,3.00,0.41,16.00,38.30,6.42,21.75,0.08,0.00,0.00,0.00,80.47
170,5.87,24.52,0.31,7.24,23.57,6.00,0.39,16.00,36.80,9.01,28.54,0.10,0.00,0.00,0.00,101.81
171,4.11,18.72,0.35,5.61,21.41,5.00,0.35,18.00,40.70,7.06,23.65,0.09,0.00,0.00,0.00,86.17
172,7.76,39.46,0.18,4.58,23.16,4.00,0.51,29.00,34.30,6.32,38.15,0.12,0.00,0.00,0.00,83.47
173,1.71,8.76,0.19,4.17,21.30,3.00,0.50,8.00,38.64,7.98,12.73,0.09,0.00,0.00,0.00,78.58
174,8.63,34.86,0.25,4.83,21.73,3.00,0.57,24.00,40.21,7.63,39.32,0.10,0.00,0.00,0.00,90.84
175,3.56,20.26,0.45,8.56,18.77,6.00,0.38,28.00,45.56,9.81,22.56,0.08,0.00,0.00,0.00,85.87
176,4.09,19.55,0.05,2.49,19.42,2.00,0.51,17.00,23.94,4.68,21.18,0.09,0.00,0.00,0.00,83.30
177,5.22,25.35,0.18,4.82,21.89,3.00,0.45,25.00,36.15,7.07,27.69,0.09,0.00,0.00,0.00,90.56
178,13.32,56.82,0.37,5.44,22.43,4.00,0.66,37.00,42.25,8.57,60.91,0.16,0.00,0.00,0.00,95.83
179,21.04,91.39,0.25,4.92,24.39,4.00,0.50,51.00,38.77,7.74,89.34,0.12,0.00,0.00,0.00,104.73
180,5.35,26.78,0.31,5.98,18.58,4.00,0.53,21.00,42.88,7.38,30.28,0.09,0.00,0.00,0.00,88.92
181,7.36,28.60,0.31,7.72,18.74,7.00,0.32,23.00,35.49,7.73,30.45,0.09,0.00,0.00,0.00,92.38
182,2.18,11.50,0.18,3.69,17.40,3.00,0.41,13.00,37.89,7.29,15.08,0.09,0.00,0.00,0.00,74.02
183,2.26,10.96,0.27,5.60,19.08,3.00,0.49,10.00,40.40,6.04,14.95,0.09,0.00,0.00,0.00,83.75
184,4.74,21.74,0.12,3.27,19.05,3.00,0.42,14.00,34.27,6.51,25.63,0.08,0.00,0.00,0.00,93.82
185,26.26,100.98,0.23,3.66,28.15,4.00,1.00,50.00,38.94,8.16,106.80,0.20,0.00,0.00,0.00,111.92
186,13.17,52.29,0.56,8.25,23.76,7.00,0.74,26.00,47.39,9.22,57.65,0.15,0.00,0.00,0.00,101.57
187,6.45,25.91,0.25,5.28,22.10,5.00,0.46,20.00,35.36,6.65,29.38,0.09,0.00,0.00,0.00,96.12
188,12.99,55.29,0.27,5.25,20.88,5.00,0.38,29.00,39.15,6.34,57.17,0.08,0.00,0.00,0.00,97.41
189,13.96,59.18,0.13,4.45,18.06,3.00,0.36,31.00,30.71,6.64,66.44,0.08,0.00,0.00,0.00,99.90
190,2.02,12.00,0.16,3.23,21.71,3.00,0.64,10.00,34.94,7.57,15.27,0.12,0.00,0.00,0.00,80.47
191,4.70,21.10,0.26,5.67,21.35,5.00,0.66,18.00,39.78,8.33,23.57,0.12,0.00,0.00,0.00,82.72
192,12.95,50.71,0.41,6.33,27.65,6.00,0.81,28.00,48.47,9.51,58.89,0.20,0.00,0.00,0.00,105.60
193,2.97,15.58,0.40,5.00,21.59,4.00,0.50,12.00,45.76,7.48,20.11,0.12,0.00,0.00,0.00,87.96
194,3.47,15.84,0.16,5.49,18.15,3.00,0.21,17.00,37.37,6.47,19.42,0.05,0.00,0.00,0.00,92.11
195,11.27,50.31,0.38,6.92,24.27,4.00,0.76,52.00,46.28,9.41,49.32,0.16,0.00,0.00,0.00,101.79
196,13.10,56.85,0.32,5.54,17.43,4.00,0.54,30.00,46.02,8.02,63.29,0.12,0.00,0.00,0.00,99.99
197,4.01,20.65,0.21,4.78,17.68,3.00,0.23,20.00,42.46,6.22,23.52,0.05,0.00,0.00,0.00,89.81
198,2.56,15.64,0.37,7.38,17.02,4.00,0.35,13.00,43.47,9.57,17.71,0.08,0.00,0.00,0.00,82.62
199,5.86,26.66,0.24,5.43,20.38,5.00,0.72,19.00,36.35,7.35,31.16,0.13,0.00,0.00,0.00,92.29
200,5.71,26.19,0.29,6.30,19.01,4.00,0.36,22.00,40.39,9.01,28.51,0.10,0.00,0.00,0.00,90.63
201,12.04,51.01,0.26,4.56,18.49,4.00,0.34,32.00,41.31,7.41,51.72,0.08,0.00,0.00,0.00,91.94
202,4.40,20.54,0.33,6.25,17.74,4.00,0.38,25.00,43.16,7.62,21.70,0.09,0.00,0.00,0.00,90.89
203,4.29,20.19,0.16,4.11,17.92,3.00,0.26,16.00,31.86,5.69,23.59,0.06,0.00,0.00,0.00,83.88
204,7.14,29.88,0.49,10.25,21.00,7.00,0.33,24.00,39.49,9.66,32.88,0.08,0.00,0.00,0.00,94.53
205,3.95,17.74,0.31,4.99,22.66,4.00,0.51,14.00,41.57,7.71,19.69,0.11,0.00,0.00,0.00,85.20
206,4.38,18.89,0.17,3.41,23.22,4.00,0.66,17.00,33.60,6.58,22.33,0.12,0.00,0.00,0.00,89.01
207,7.30,36.60,0.20,6.07,19.65,4.00,0.35,24.00,35.86,7.00,36.78,0.09,0.00,0.00,0.00,94.50
208,19.57,75.20,0.22,4.21,21.64,4.00,0.53,30.00,39.19,7.02,81.19,0.12,0.00,0.00,0.00,102.79
209,17.36,67.39,0.20,4.17,22.86,4.00,0.65,30.00,36.08,7.88,73.56,0.16,0.00,0.00,0.00,100.35
210,4.42,18.99,0.43,8.03,22.73,6.00,0.37,15.00,46.04,9.26,21.30,0.08,0.00,0.00,0.00,92.11
211,8.35,35.97,0.39,5.40,17.67,5.00,0.33,30.00,41.77,7.29,40.27,0.07,0.00,0.00,0.00,94.85
212,6.26,31.53,0.40,6.72,20.44,6.00,0.30,24.00,45.27,9.46,38.96,0.06,0.00,0.00,0.00,91.26
213,7.22,31.95,0.26,5.82,20.33,5.00,0.67,26.00,40.21,8.34,37.09,0.14,0.00,0.00,0.00,97.74
214,5.68,24.96,0.25,5.47,17.55,5.00,0.22,24.00,37.49,7.13,27.76,0.04,0.00,0.00,0.00,95.72
215,5.33,23.14,0.23,4.79,20.87,3.00,0.68,16.00,36.05,7.92,28.01,0.13,0.00,0.00,0.00,93.21
216,10.58,42.30,0.35,6.87,20.49,4.00,0.39,22.00,45.38,10.45,46.95,0.09,0.00,0.00,0.00,97.52
